Time (s), Cell Name, Value
247270.720987, C08, 754.8322
247301.309112, C08, 141.9409
247303.708181, C08, 138.9879
247304.307948, C08, 250.9683
247335.895685, C08, 83.6504
247509.228393, C08, 149.6399
247517.025366, C08, 112.897
247528.620864, C08, 87.76712
247606.390672, C08, 140.6256
248540.922838, C08, 79.26498
248800.821438, C08, 108.645
248832.00927, C08, 197.3697
248877.191642, C08, 212.7743
248882.189692, C08, 368.5529
248883.389224, C08, 122.8171
248885.188522, C08, 507.8798
248898.98314, C08, 96.69717
248905.580566, C08, 470.4683
248956.760598, C08, 89.26868
249000.543516, C08, 103.2251
249037.92893, C08, 137.6669
249039.128462, C08, 284.2375
249040.327994, C08, 163.8353
249043.726668, C08, 257.6886
249050.324094, C08, 301.0928
249064.318634, C08, 148.3643
249092.507636, C08, 131.6038
249095.506466, C08, 116.9571
249116.098432, C08, 107.6961
249121.296404, C08, 73.39169
249156.082832, C08, 77.14262
249168.078152, C08, 112.7923
249173.476046, C08, 135.9562
249202.064892, C08, 98.66121
249203.264424, C08, 396.4652
249238.650618, C08, 164.0412
249252.445236, C08, 172.3428
249309.622928, C08, 114.1196
249375.997032, C08, 106.2575
249417.380886, C08, 82.48569
260266.786024, C08, 238.2919
260301.172608, C08, 88.54605
260307.770034, C08, 108.4834
260311.168708, C08, 287.892
260312.168318, C08, 126.9692
260320.565042, C08, 495.4011
260347.154668, C08, 293.1973
260448.115278, C08, 90.29305
260456.112158, C08, 172.0288
260459.110988, C08, 186.2068
260489.29921, C08, 1706.24
260497.096168, C08, 346.4273
260500.29492, C08, 211.1275
260527.28439, C08, 187.1827
260558.872066, C08, 122.2707
260562.27074, C08, 120.1805
260565.869336, C08, 109.1758
260625.24617, C08, 123.1489
260626.445702, C08, 166.0031
260662.431662, C08, 97.13137
260688.2216, C08, 85.8073
260699.817076, C08, 106.5485
260701.21653, C08, 245.8962
260771.589074, C08, 174.5105
260772.988528, C08, 149.9923
260776.986968, C08, 132.9419
260800.377842, C08, 131.3464
260806.975268, C08, 93.3268
260825.767936, C08, 88.60289
260858.755066, C08, 151.9406
260883.945238, C08, 313.5601
260911.13463, C08, 116.515
260912.534084, C08, 97.51085
260920.530964, C08, 83.19951
260923.12995, C08, 398.8144
260957.516534, C08, 354.4007
260981.10733, C08, 184.8646
260991.303352, C08, 110.1717
24.790328, C15, 144.4738
83.96724, C15, 141.3242
107.757958, C15, 843.9987
165.93526, C15, 145.9771
239.306634, C15, 588.078
323.87364, C15, 241.6201
340.667088, C15, 150.0637
499.005312, C15, 162.0518
562.980352, C15, 214.8275
599.166234, C15, 136.4045
616.75937, C15, 469.4396
638.950712, C15, 185.8432
654.944472, C15, 149.772
702.525908, C15, 385.0327
737.71218, C15, 409.0004
813.482618, C15, 135.367
875.058594, C15, 203.3936
894.850872, C15, 279.1985
69437.311256, C15, 356.0847
69459.30267600001, C15, 229.2244
69485.49245799999, C15, 228.9391
69502.485828, C15, 412.6993
69627.437078, C15, 318.5937
69849.750342, C15, 323.2997
69923.32163799999, C15, 220.6118
70056.069846, C15, 251.2843
70083.659082, C15, 247.5266
70228.602532, C15, 281.3479
70231.40144, C15, 235.2357
70266.58771199999, C15, 616.9786
70277.3835, C15, 383.9264
70664.23649, C15, 237.2412
70745.404822, C15, 247.5287
70860.35997200001, C15, 586.7963
70952.324092, C15, 600.99
71022.89655799999, C15, 373.0735
71047.486964, C15, 248.7296
71338.77331800001, C15, 250.0349
84456.765526, C15, 185.0854
84457.365292, C15, 199.8769
84461.363732, C15, 241.7715
84514.343062, C15, 618.3857
84560.92488799999, C15, 258.8002
84652.689086, C15, 435.1917
84849.81217799999, C15, 661.3749
85153.49369600001, C15, 329.4139
85174.285584, C15, 347.0519
85289.84050000001, C15, 287.1877
152412.625364, C15, 559.72
152658.929268, C15, 252.9184
153071.96812, C15, 242.4035
153112.352364, C15, 318.2306
158767.393956, C15, 170.8163
158782.588028, C15, 220.662
158784.78717, C15, 245.9485
158853.560338, C15, 213.5131
158927.131634, C15, 175.1012
159000.902852, C15, 169.3419
159114.858391, C15, 174.142
159150.444508, C15, 208.8417
159218.61791, C15, 159.5334
159247.206756, C15, 157.2923
159306.58359, C15, 161.3507
159336.771812, C15, 232.7491
159360.762452, C15, 228.9805
159416.54069, C15, 1278.208
159433.733982, C15, 155.6487
159469.120176, C15, 347.897
159475.51768, C15, 169.3749
166072.725568, C15, 227.4194
166145.697098, C15, 172.1073
166208.87245, C15, 232.4035
166269.448816, C15, 183.0482
166281.644058, C15, 200.5228
166502.75779, C15, 172.509
166512.953812, C15, 182.5172
166655.098354, C15, 764.3243
166692.483768, C15, 396.8537
166706.278386, C15, 176.2295
166710.876592, C15, 226.306
166731.268636, C15, 224.4655
173578.81616, C15, 208.5159
173582.014922, C15, 306.3358
173583.014535, C15, 154.3652
173588.212524, C15, 118.3903
173600.607729, C15, 143.8153
173606.00564, C15, 405.4693
173635.194347, C15, 314.9353
173637.393497, C15, 111.3073
173665.782513, C15, 115.6703
173770.34206, C15, 625.6891
173780.738038, C15, 159.4482
173796.132082, C15, 131.267
173904.690082, C15, 117.894
173929.680413, C15, 140.1925
174004.251562, C15, 135.7224
174024.043905, C15, 907.2831
174031.041198, C15, 268.4509
174038.638258, C15, 153.3968
174066.62743, C15, 191.4344
174072.025341, C15, 168.8632
174073.224877, C15, 202.2037
174108.611186, C15, 201.9828
174115.808402, C15, 115.6641
174124.205153, C15, 276.9761
174142.598037, C15, 111.5495
174173.186203, C15, 303.9558
174179.78365, C15, 357.7178
174186.181175, C15, 116.9016
174216.969264, C15, 379.671
174224.166479, C15, 582.7223
174280.944512, C15, 181.9488
174282.743816, C15, 1266.458
174381.905451, C15, 386.2918
174419.690832, C15, 147.4641
174421.889982, C15, 1508.279
174427.887661, C15, 419.0699
174431.286346, C15, 1233.118
248562.714336, C15, 156.0948
248623.490624, C15, 119.1633
248638.284852, C15, 116.8385
248851.801548, C15, 131.4545
248997.744608, C15, 123.0575
249045.126122, C15, 121.8875
249080.712238, C15, 225.7466
249093.707168, C15, 135.1148
249256.84352, C15, 146.5767
249331.214504, C15, 144.7723
249342.410136, C15, 482.1031
249353.006002, C15, 230.9943
249356.204754, C15, 202.6913
260268.785244, C15, 186.5209
260322.764184, C15, 153.9011
260488.899365, C15, 151.7757
260660.832286, C15, 502.4898
260723.20795, C15, 146.9415
260786.583224, C15, 168.9139
260811.773396, C15, 197.9599
260912.534084, C15, 330.304
0.99961, C19, 436.787
5.397894, C19, 354.2494
22.791108, C19, 1280.132
23.99064, C19, 250.8069
28.189002, C19, 760.4172
78.96919, C19, 258.4086
97.96178, C19, 315.778
136.146882, C19, 585.7285
138.146102, C19, 259.0361
139.145712, C19, 317.2057
305.88066, C19, 686.6649
361.85882, C19, 1148.243
363.658118, C19, 382.9662
366.457026, C19, 1219.088
368.656168, C19, 1011.476
378.85219, C19, 1045.992
397.245014, C19, 934.1268
436.82957, C19, 279.3626
457.621458, C19, 888.8084
489.009212, C19, 823.0924
493.007652, C19, 587.2451
69500.88645200001, C19, 705.3333
69619.840042, C19, 573.7391
69698.009544, C19, 518.763
69841.35361799999, C19, 748.5272
69858.54691, C19, 1026.109
69862.345428, C19, 987.0549
69894.732792, C19, 464.6833
70083.859004, C19, 639.176
70213.00861600001, C19, 1281.302
70500.100528, C19, 508.976
70604.859656, C19, 436.089
70635.847566, C19, 2698.517
70721.61410399999, C19, 417.6637
70763.59772400001, C19, 629.0544
71136.05241, C19, 692.0066
71257.80490800001, C19, 2277.069
71268.80061799999, C19, 1617.875
71341.772148, C19, 774.3489
84554.527384, C19, 924.3882
84568.12208, C19, 462.0515
84619.10219000001, C19, 726.5828
84622.900708, C19, 710.5422
84630.89758800001, C19, 1662.411
84656.28768199999, C19, 1185.911
84664.684406, C19, 716.1755
84701.669976, C19, 1113.661
84705.668416, C19, 766.6052
84751.650476, C19, 467.7287
84815.02575, C19, 1214.34
84826.621226, C19, 1503.618
84874.402584, C19, 785.113
84978.96179, C19, 1690.268
85093.717018, C19, 469.9709
85121.706098, C19, 1348.811
85125.30469400001, C19, 788.4943
85175.685038, C19, 1129.804
85179.08371200001, C19, 1042.441
152280.676844, C19, 1171.886
152300.669044, C19, 492.9014
152314.663584, C19, 940.7816
152317.462492, C19, 1002.655
152329.457812, C19, 651.1226
152358.046658, C19, 535.4656
152415.424272, C19, 1605.904
152420.622244, C19, 2246.242
152422.22162, C19, 1028.553
152424.820606, C19, 875.5869
152441.014288, C19, 2548.668
152456.608204, C19, 852.9697
152459.407112, C19, 1673.217
152461.606254, C19, 491.605
152475.600794, C19, 1350.345
152484.997128, C19, 1686.847
152503.389952, C19, 961.2779
152554.969828, C19, 1063.397
152651.532154, C19, 685.7415
152668.925368, C19, 2012.03
152685.518894, C19, 663.4493
152703.311952, C19, 831.0804
152719.305712, C19, 588.1735
152882.04222, C19, 1065.151
152887.839958, C19, 519.3859
152914.229662, C19, 699.9664
152948.816168, C19, 1366.413
152971.807198, C19, 895.006
153095.558916, C19, 1243.661
153112.352364, C19, 1360.994
153128.745968, C19, 875.3115
153170.329744, C19, 1158.018
153173.528496, C19, 675.2455
158681.227574, C19, 1365.12
158694.82227, C19, 1243.359
158716.81369, C19, 507.1664
158723.411116, C19, 1517.567
158836.76689, C19, 574.4108
159067.876722, C19, 863.1884
159083.070794, C19, 581.643
159096.66549, C19, 517.8542
159102.063384, C19, 1043.907
159185.031014, C19, 862.8525
159373.157616, C19, 861.2141
159379.55512, C19, 670.9761
159381.154496, C19, 1006.49
159407.744122, C19, 525.2065
159412.742172, C19, 1668.549
159437.5325, C19, 590.3983
165968.766128, C19, 1057.346
165972.164802, C19, 382.8885
165975.163632, C19, 590.2256
165977.162852, C19, 427.6219
165986.359264, C19, 655.0367
166045.336254, C19, 404.3442
166049.734538, C19, 764.8671
166085.120732, C19, 460.5347
166096.516285, C19, 251.0668
166100.714648, C19, 271.0408
166102.91379, C19, 688.8434
166104.713088, C19, 492.1695
166107.112152, C19, 824.667
166108.91145, C19, 1070.954
166125.504976, C19, 879.9246
166129.503416, C19, 437.8273
166139.099672, C19, 747.9124
166171.686958, C19, 694.5262
166173.086412, C19, 504.0633
166231.86348, C19, 518.577
166244.458566, C19, 284.5714
166267.649518, C19, 260.0888
166337.622218, C19, 2414.285
166346.81863, C19, 501.4064
166351.81668, C19, 303.3035
166365.011532, C19, 285.1547
166375.607398, C19, 544.1086
166383.404356, C19, 404.2164
166385.203654, C19, 292.3629
166386.603108, C19, 675.3431
166397.598818, C19, 1033.633
166427.986962, C19, 604.6581
166491.162313, C19, 605.6627
166493.561378, C19, 849.0516
166504.557088, C19, 268.3791
166506.956152, C19, 340.2285
166529.74726, C19, 244.9618
166533.145934, C19, 253.1948
166706.67823, C19, 266.3201
166744.863332, C19, 407.8994
