 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
16364.12208,53.58073,125.4495,0.7187331,48.27616,240.3111,632.218,208.8589,34.83454,136.0852,326.078,364.279,110.2618,229.6865,0.0,50.55226,430.2296,524.5422,288.4462
16364.22214,49.36286,119.8242,0.6647065,45.48077,294.3617,596.3192,231.0665,32.5855,127.6318,306.4106,365.8886,104.1776,213.7855,0.0,98.46431,405.5729,496.5558,268.1783
16364.3222,48.63252,114.451,0.6147411,42.84724,309.0357,609.6591,219.1302,30.48166,119.7036,327.3522,366.4503,98.42921,198.9853,0.0,97.61762,382.3293,493.8687,249.3345
16364.42226,44.80418,120.8723,0.5685315,40.36621,295.0924,629.1298,207.8104,28.51365,112.2679,307.6079,346.5827,92.99797,185.2097,0.0,204.4492,360.4178,493.0792,246.5234
16364.52232,41.2772,115.4522,0.5257955,38.02884,334.8033,593.4064,197.0753,26.67271,105.294,289.0546,404.1804,87.86642,172.3878,0.0,245.376,339.7621,466.7715,229.2012
16364.62238,38.02787,125.7733,0.4862718,35.82682,319.6974,559.7114,186.8949,24.95062,98.7534,320.3836,398.4521,83.01804,160.4536,0.0,228.9772,320.2901,441.8673,222.3252
16364.72244,35.03432,120.1334,0.4497192,33.75229,355.9603,527.9297,184.4725,23.33971,92.61905,353.4372,456.7439,78.43717,149.3455,0.0,213.6744,325.322,492.9274,206.7034
16364.82251,32.27642,114.7465,0.4159141,31.7979,339.8999,497.9526,174.943,21.83282,86.86575,332.1197,460.9925,74.10908,139.0064,0.0,199.3942,306.6776,492.068,192.1792
16364.92257,31.99881,109.601,0.3846502,29.95667,324.5641,524.2666,165.9059,20.42321,81.46983,402.7762,480.4679,70.01981,129.3832,0.0,186.0684,289.1018,559.6697,205.5738
16365.02263,29.47987,104.6863,0.3557363,28.22205,320.412,494.4975,158.6115,19.10461,76.4091,378.4827,529.499,66.15617,120.4261,0.0,177.6937,272.5332,541.0669,229.3602
16365.12269,27.15922,99.99203,0.3289959,26.58788,305.9554,486.7256,166.5227,17.87115,71.66273,355.6545,500.7915,62.50573,112.0891,0.0,173.9506,256.9142,530.9982,251.3865
16365.22275,25.02125,95.50822,13.85369,25.04833,308.3757,506.7659,175.1481,16.71732,67.2112,334.2032,473.6403,59.05672,104.3293,0.0,162.3252,242.1903,502.6673,325.667
16365.32281,23.05158,148.1217,17.39852,23.59793,294.4622,477.9906,191.8996,15.63799,63.03618,314.0457,447.9612,55.79802,97.10664,0.0,169.6313,255.1712,576.1353,384.4014
16365.42288,21.23696,141.4797,16.09069,22.23151,281.1765,450.8492,187.48,14.62834,134.7205,295.1041,423.6744,52.71914,90.38403,0.0,165.6843,240.5472,552.3904,397.3
16365.52294,35.25388,135.1355,14.88117,20.94422,310.7743,531.8331,198.8241,13.68388,138.7209,277.3049,441.0384,49.81014,84.12682,0.0,158.1645,273.3782,522.9182,419.2318
16365.623,60.53509,129.0758,39.94494,19.73146,296.7526,551.0037,188.5533,12.8004,141.0837,320.7617,417.1269,47.06166,78.3028,0.0,147.5942,257.7108,568.7255,389.7741
16365.72306,55.76978,124.2644,36.94231,18.58893,283.3635,596.4822,178.813,11.97396,132.3199,344.469,394.5117,44.46484,72.88197,0.0,137.7302,242.9412,557.1673,362.3863
16365.82312,51.37959,122.2879,34.16539,17.51255,270.5786,611.3345,169.576,11.20088,137.1093,509.0415,373.1227,42.01131,67.83641,0.0,128.5255,246.2297,597.1743,336.9229
16365.92318,47.335,116.8043,31.5972,16.4985,258.3704,576.6215,164.7159,10.47771,146.038,541.7961,352.8933,39.69317,63.14015,0.0,119.936,295.2002,565.3126,324.2836
16366.02324,43.60879,145.1885,29.22206,15.54317,296.0143,543.8795,162.6261,9.801228,136.9664,509.1177,375.567,37.50293,58.76901,0.0,111.9205,278.2821,535.1509,301.4975
16366.12331,89.13338,138.678,27.02546,14.64316,314.4858,567.6196,154.2252,9.168425,128.4584,478.4103,355.205,35.43356,54.70048,0.0,104.4407,262.3336,531.564,330.1198
16366.22337,82.11681,132.4595,24.99398,13.79526,300.2966,586.0728,146.2582,8.576477,225.6377,449.555,335.9471,33.47836,50.91362,0.0,97.46082,303.8929,503.2029,357.6025
16366.32343,75.65259,185.7048,23.1152,12.99646,294.3059,552.7942,165.8904,8.022748,211.6216,422.4401,317.7332,31.63106,129.2632,0.0,90.94737,286.4766,534.777,332.4753
16366.42349,82.25317,177.3775,21.37765,12.24391,281.0272,598.699,157.3209,7.504769,198.4761,415.7845,300.5069,29.88568,126.6627,0.0,117.9806,297.5828,530.5406,358.0424
16366.52355,75.77821,169.4236,19.77071,11.53494,268.3476,564.7036,176.8394,7.020234,186.1472,408.1461,313.0598,28.23662,161.8397,0.0,112.2546,323.1227,528.2568,377.8058
16366.62361,78.34937,161.8264,18.28456,10.86701,256.2401,561.3268,167.7042,52.97842,174.5841,383.5287,361.8941,26.67854,283.0078,0.0,109.9165,304.6043,500.0722,351.2589
16366.72368,112.0426,154.5699,16.91013,10.23777,288.728,615.4847,159.041,82.47263,163.7393,360.3962,342.2735,38.27966,263.4154,0.0,129.3066,312.0046,482.7312,360.315
16366.82374,111.9892,156.0988,15.639,9.64496,301.5632,580.5361,150.8253,116.3572,153.5681,374.2709,323.7166,36.16742,245.1794,0.0,120.6649,313.7196,520.8655,334.9972
16366.9238,114.7006,149.099,14.46343,9.086477,287.9571,547.5719,143.034,108.8448,144.0288,398.9029,320.9386,34.17174,228.2058,0.0,122.6683,331.4311,519.8748,311.4583
16367.02386,105.6713,142.4132,13.37623,8.560333,274.9649,554.5178,135.6452,101.8174,135.0821,388.5615,372.9305,32.28617,212.4073,0.0,164.0899,326.9238,492.1374,404.9104
16367.12392,103.5158,136.0272,12.37075,8.064654,262.5588,557.5239,128.638,95.24367,126.6911,403.1656,375.3761,30.50465,197.7026,0.0,153.1236,308.1876,465.8799,393.3058
16367.22398,95.36708,148.6001,11.44085,7.597678,297.2284,525.8664,121.9929,89.09439,118.8213,378.8487,355.0245,28.82143,184.0158,0.0,158.4312,290.5252,441.0233,365.6699
16367.32404,87.85979,141.9366,10.58085,7.157741,309.9101,496.0065,115.691,83.34212,111.4403,355.9984,335.7763,27.23109,171.2765,0.0,221.3257,273.8751,451.6856,347.3444
16367.42411,80.94349,136.4612,9.785495,6.743278,310.8646,521.0588,109.7147,77.96126,173.9446,334.5264,378.7375,101.4296,159.4192,0.0,206.5342,258.1792,427.5864,322.938
16367.52417,74.57162,156.6024,9.049927,6.352815,306.1215,491.4719,104.047,72.92779,163.1395,314.3494,423.6626,95.83282,264.6389,0.0,293.1154,293.6589,442.873,330.4093
16367.62423,68.70135,175.3471,8.369651,5.98496,348.9221,560.8084,108.6817,68.2193,183.1151,384.9595,400.6931,90.54485,246.3182,0.0,327.2674,296.2744,478.9446,338.6013
16367.72429,63.29319,192.4321,7.740511,5.638406,374.8692,594.2502,127.6722,63.81481,231.6754,361.7407,378.969,85.54867,229.2658,0.0,362.389,279.2948,453.391,314.8092
16367.82435,58.31076,183.8031,7.158663,5.311919,369.7505,560.5073,121.0769,59.69469,265.008,370.7769,358.4226,80.82817,213.3939,0.0,354.8314,311.0262,429.2007,292.6888
16367.92441,53.72055,175.5611,6.620552,5.004337,372.2239,528.6804,114.8224,55.84058,304.5663,348.4135,372.685,76.36814,198.6208,0.0,331.1175,325.3313,406.3011,288.0532
16368.02448,49.49167,167.6887,6.12289,4.714566,362.9715,498.6607,108.8909,52.23531,285.6472,348.5605,395.0358,72.15421,184.8705,0.0,308.9885,306.6864,384.6233,327.8574
16368.12454,45.59569,160.1692,5.662637,4.441573,389.1858,470.3456,103.2658,48.8628,267.9034,337.1664,373.6183,68.17281,172.0721,0.0,288.3384,333.7332,428.9217,304.8202
16368.2246,42.00641,152.987,5.236981,4.184388,418.2798,443.6383,97.93134,45.70804,251.2618,316.8302,353.3621,64.41109,160.1597,0.0,282.376,314.6068,454.367,283.4017
16368.32466,38.69967,146.1268,4.843322,3.942094,447.6891,418.4475,92.87241,42.75696,235.654,297.7206,334.204,60.85694,149.072,0.0,263.5044,398.0646,463.2803,263.4883
16368.42472,35.65324,148.9279,4.479253,3.713831,444.2033,416.9942,92.47028,39.99641,221.0157,309.0713,391.9964,57.49891,138.7518,0.0,336.4754,387.9091,457.4929,307.499
16368.52478,32.84662,142.2498,4.142551,3.498785,477.3084,425.1819,87.69347,37.4141,207.2866,335.0532,415.6667,54.32617,129.1462,0.0,318.4966,414.4607,474.6055,324.1762
