 Time, C00, C01, C02, C03, C04, C05, C06, C08, C09, C10, C11, C12, C13, C14, C15, C16, C18, C19
519948.2696,314.1238,25.01704,366.3703,-1.43e-06,607.5449,405.4478,242.0789,460.2805,350.8959,100.4249,318.6485,122.897,175.3046,194.0405,257.5467,480.1667,665.6736,323.474
519948.3696,294.818,23.82575,377.2347,-1.43e-06,609.433,382.9184,229.2617,448.4235,361.5289,93.09528,302.1854,137.7831,190.339,179.7058,261.786,451.4159,660.3639,304.3015
519948.4697,276.6986,22.69118,346.6596,-1.91e-06,602.7491,361.6408,217.1231,436.3687,404.2048,86.30061,286.5729,126.1904,176.3272,166.4301,245.8808,456.486,655.7048,286.2654
519948.5698,259.6929,21.61065,318.5626,-1.43e-06,612.0504,341.5456,205.6272,440.1774,411.2879,110.4455,302.8007,115.5731,219.7617,154.1352,230.9419,478.3668,699.8082,269.2982
519948.6698,243.7323,20.58156,292.7429,-1.43e-06,577.9332,322.567,194.74,411.7625,385.2851,130.5239,324.8188,105.8491,224.5637,142.7486,249.5618,449.7238,712.866,289.1039
519948.7699,228.7526,19.60148,269.0158,-1.43e-06,644.0244,304.643,222.6679,385.1817,360.9262,120.9975,333.6985,96.94331,237.2447,132.2031,305.8659,552.2358,767.2881,361.6653
519948.87,214.6936,18.66807,247.2119,-1.91e-06,715.4953,314.6026,299.8496,360.3169,338.1074,112.1664,362.7556,112.6008,252.6881,122.4366,287.2826,653.8831,921.3989,506.6577
519948.97,201.4986,17.77911,227.1752,-1.43e-06,675.6119,386.513,333.8545,365.3845,316.7312,103.9798,437.972,125.8708,303.8838,113.3917,269.8282,781.5939,1008.992,519.6956
519949.0701,189.1146,16.93249,279.9286,-1.43e-06,716.2328,428.4898,410.7342,341.7976,296.7065,96.39067,439.8449,128.5534,379.479,105.0149,253.4344,920.8108,1089.425,506.1141
519949.1701,177.4917,16.12617,415.7708,-9.54e-07,808.077,413.3133,411.2734,514.635,277.9478,89.35548,467.0505,330.1153,403.7681,97.25702,238.0366,1023.018,1114.026,632.8801
519949.2702,166.5832,15.35826,420.0507,-7.15e-07,763.0329,480.4337,464.3593,521.6863,324.873,82.83377,472.7795,302.3403,374.045,132.9137,303.9134,961.7633,1059.443,618.736
519949.3703,213.3805,14.62691,514.325,-7.15e-07,720.4996,474.1071,439.7732,544.5429,304.3335,76.78805,479.3671,276.9023,346.5098,264.6785,285.4486,904.1761,1007.534,670.0377
519949.4703,200.2663,13.93038,703.0699,-7.15e-07,680.3372,461.191,483.8162,521.7721,307.7264,71.18358,517.2437,253.6045,321.0017,245.1255,268.1058,850.037,1005.769,665.8044
519949.5704,187.958,13.26703,761.6006,-4.77e-07,642.4136,492.26,484.3128,488.0898,288.271,65.98816,490.5201,232.2669,297.3713,227.017,251.8166,857.8973,962.8531,708.3644
519949.6704,176.4062,12.63526,767.9753,-4.77e-07,606.6039,517.1467,568.8955,456.5819,270.0457,61.17194,521.5515,212.7246,275.4804,210.2462,255.4679,867.2093,930.3733,685.1967
519949.7705,165.5644,12.03358,733.6398,-4.77e-07,572.7904,488.4106,580.1453,545.8456,252.9725,56.70723,534.4974,194.8266,255.2011,194.7144,283.9233,849.0991,989.2891,644.5847
519949.8706,155.3889,11.46055,683.7286,-4.77e-07,540.8618,461.2711,587.8843,510.6094,236.9789,52.56839,524.7842,178.4344,236.4146,180.3299,303.7739,798.2579,966.1032,606.3798
519949.9706,145.8387,10.91481,691.8015,41.96338,510.7128,449.1783,556.7579,477.6478,258.635,48.73162,572.7795,181.1052,267.6419,167.0082,307.2621,750.4608,918.7676,570.4392
519950.0707,163.0446,10.39505,635.7305,39.40213,482.2444,424.2188,602.5551,446.814,242.2834,45.17488,575.882,182.8857,265.7105,154.6705,301.4118,705.5258,873.7514,642.9124
519950.1708,153.024,9.900047,584.2041,36.9972,531.5245,400.6464,621.4754,417.9705,226.9655,76.1869,546.1289,167.4982,284.9763,143.2443,328.5652,663.2812,830.9407,615.095
519950.2708,143.6192,9.428615,576.3312,34.73906,581.5357,384.7318,588.5706,390.9891,212.616,89.74725,572.7274,153.4054,263.9979,132.6622,308.6027,652.3174,790.2276,591.8126
519950.3709,193.1312,8.97963,529.6191,32.61875,555.7747,384.0561,557.4079,365.7494,252.3288,83.19695,572.6583,140.4983,244.5638,122.8619,289.8531,631.2226,799.339,584.4894
519950.4709,261.1728,8.552027,486.6931,30.62785,603.0581,437.8075,527.8951,342.1389,246.3113,77.12472,578.8129,161.0567,226.5604,113.7855,319.4235,665.6357,800.0928,583.5399
519950.571,281.4302,8.144785,447.2463,62.3026,675.4833,489.0531,499.945,320.0527,247.2231,134.181,559.231,187.2137,209.8822,105.3797,373.6925,714.4242,886.0966,597.7447
519950.6711,318.1817,7.756936,410.9967,68.20335,637.8303,546.6908,555.7572,299.3922,231.5929,187.5602,647.0132,189.3983,194.4319,97.59479,437.7235,728.326,972.2269,715.1692
519950.7711,344.0133,7.387557,377.6851,64.04053,602.2761,516.313,575.8633,280.0653,216.9509,202.9127,665.9374,173.4629,249.9289,90.38503,429.2654,831.4952,947.9592,768.8776
519950.8712,322.8704,7.035767,430.002,60.13178,695.2155,487.6231,618.1874,261.9861,203.2347,188.1029,643.9952,251.7423,334.9813,83.70788,403.1847,804.39,953.2499,830.9001
519950.9712,303.027,6.700728,425.476,56.46161,716.909,460.5275,638.0312,245.074,190.3856,219.7247,701.9781,230.5614,310.3219,77.524,453.7966,885.1354,945.766,889.653
519951.0713,302.8261,6.381645,468.2013,53.01545,676.9468,434.9374,604.2498,229.2536,238.8008,203.6878,706.3663,216.8491,287.4777,71.79696,426.2255,856.1982,899.4269,836.9227
519951.1714,284.2146,6.077755,430.2532,49.77963,639.2122,410.7694,572.257,214.4545,246.707,188.8214,669.8717,245.9918,266.3152,66.493,453.2295,814.4323,901.7532,787.3177
519951.2714,266.7469,5.788337,395.3809,79.43738,603.581,387.9442,541.958,200.6107,333.2493,175.04,702.4685,236.932,246.7105,61.58086,425.6928,784.8642,870.8768,740.653
519951.3715,250.3528,5.512701,363.335,74.58888,569.936,366.3874,583.8874,187.6606,324.7831,162.2645,726.5015,216.9972,228.5491,57.03161,419.7295,767.0623,828.207,696.754
519951.4716,234.9662,5.25019,333.8865,105.324,538.1664,383.1365,552.9726,175.5464,314.8047,150.4215,688.9666,198.7397,211.7245,52.81843,394.2282,721.1331,787.6278,655.457
519951.5716,234.768,5.000179,306.8247,98.89552,508.1677,401.4872,672.837,164.2143,355.1105,139.4428,653.3708,205.5493,196.1385,48.9165,370.2762,690.1702,749.0369,616.6076
519951.6717,272.5191,4.762074,281.9564,92.85939,479.8412,388.5362,771.1761,153.6137,332.6594,129.2654,700.2092,188.2549,181.6999,45.30281,347.7795,660.8433,712.3367,580.0609
519951.7717,281.7022,4.535308,259.1036,87.19167,453.0937,402.967,839.2197,143.6974,333.2552,142.8478,691.9823,241.5347,168.3242,41.95609,326.6496,621.2742,727.9529,545.6803
519951.8718,275.4543,4.31934,238.1031,81.86988,427.8372,399.3774,850.6142,134.4212,347.4991,132.4219,704.9424,221.2126,155.9331,38.85661,306.8034,584.0744,778.2722,513.3375
519951.9719,300.7126,4.113656,218.8047,76.87292,516.9198,410.018,829.3391,125.7439,325.5291,122.7569,699.5978,202.6004,144.4541,35.9861,335.5545,587.694,766.0257,482.9117
519952.0719,298.7756,3.917767,201.0704,72.18095,488.1055,387.2346,792.7217,117.6267,322.7434,113.7974,672.7895,185.5542,133.8202,33.32764,315.1673,552.5048,776.2533,454.2892
519952.172,309.8394,3.731205,184.7735,67.77534,460.8973,394.9643,770.9791,110.0334,302.3386,105.4917,686.755,169.9422,123.9691,30.86558,310.3506,519.4227,812.1627,427.3632
519952.272,367.7389,3.553528,169.7975,63.63865,435.2058,421.2001,730.1586,102.9304,301.5601,97.7923,708.3548,178.3858,114.8432,28.58541,359.1754,488.3214,772.3696,402.0331
519952.3721,345.1379,3.384312,156.0353,59.75444,410.9464,397.7953,691.4993,96.28589,282.4946,125.5247,671.7574,163.3769,106.3891,26.47367,369.0757,500.1086,780.4321,464.6461
519952.4722,355.2261,3.223153,143.3885,56.1073,388.0392,375.6912,654.8869,90.07029,264.6344,116.3632,709.2009,149.6308,98.55729,24.51794,419.7589,527.2674,824.0024,481.5436
519952.5722,354.8139,3.069669,131.7668,52.68276,366.409,354.8152,620.2131,84.25594,247.9034,107.8703,672.5598,137.0413,91.30204,22.7067,394.2557,495.6964,808.1248,574.337
